Application_Month,Peak_Season,countryAvg,visa_type_Avg,Delay_Status,visa_class_Avg,Processing_Days
9,Off-Peak,63.61986863711002,72.12162162162163,Normal,75.72985781990522,36.0
9,Off-Peak,67.8239815526518,29.534550195567146,Fast,29.401574803149607,15.0
9,Off-Peak,64.23585657370518,92.99161887957654,Delayed,94.70486111111111,62.0
3,Off-Peak,65.37269681742043,92.99161887957654,Severely Delayed,94.70486111111111,98.0
5,Peak,62.77526273241714,52.2916392363397,Normal,52.0267229254571,36.0
11,Off-Peak,63.09761549925484,92.99161887957654,Delayed,92.83892617449665,66.0
11,Off-Peak,67.8239815526518,39.43447037701975,Fast,37.76707202993452,28.0
5,Peak,64.56770833333333,29.534550195567146,Severely Delayed,29.401574803149607,730.0
4,Off-Peak,67.8239815526518,52.2916392363397,Normal,53.711934156378604,48.0
11,Off-Peak,67.8239815526518,63.90344827586207,Delayed,63.63636363636363,73.0
10,Off-Peak,64.56770833333333,29.534550195567146,Fast,32.86150712830957,20.0
4,Off-Peak,64.23585657370518,92.99161887957654,Normal,92.83892617449665,36.0
12,Off-Peak,66.37839937839938,39.43447037701975,Normal,42.395198522622344,39.0
4,Off-Peak,65.37269681742043,171.03977272727272,Severely Delayed,171.17021276595744,209.0
10,Off-Peak,65.50972104818258,92.99161887957654,Delayed,92.83892617449665,88.0
6,Peak,62.77526273241714,52.2916392363397,Normal,51.23287671232877,36.0
9,Off-Peak,62.77526273241714,39.43447037701975,Fast,37.76707202993452,25.0
9,Off-Peak,66.37839937839938,92.99161887957654,Delayed,92.83892617449665,71.0
9,Off-Peak,66.25196850393701,92.99161887957654,Delayed,94.70486111111111,75.0
12,Off-Peak,63.09761549925484,39.43447037701975,Normal,36.92940038684719,47.0
10,Off-Peak,65.50972104818258,39.43447037701975,Fast,36.92940038684719,24.0
7,Peak,61.9236276849642,92.99161887957654,Severely Delayed,94.74632352941177,135.0
1,Off-Peak,66.37839937839938,29.534550195567146,Normal,26.6414686825054,36.0
