Case_ID,Application_Date,Decision_Date,Processing_Days,Visa_Type,Visa_Class,Applicant_Age,Gender,Applicant_Country,Visa_Country,Processing_Center,Case_Status,Application_Month
C-100000,2022-09-27,2024-02-26,36.0,Diplomatic,Diplomatic Visa,70.0,Female,Pakistan,Australia,Pakistan_Main_Center,Pending,9
C-100001,2020-09-16,2020-10-01,15.0,Business,Business Visitor,66.0,Male,Vietnam,UAE,Unknown,Approved,9
C-100002,2021-09-23,2021-11-24,62.0,Work,Work Permit,23.0,Female,France,New Zealand,France_Main_Center,Approved,9
C-100003,2023-03-02,2023-06-08,98.0,Work,Work Permit,32.0,Male,Canada,UK,Montreal_Center,Approved,3
C-100004,2022-05-18,2024-02-26,36.0,Student,Student Tier 4,23.0,Female,China,Germany,Beijing_Center,Pending,5
C-100005,2020-11-27,2021-02-01,66.0,Work,Skilled Worker,67.0,Other,Nigeria,USA,Nigeria_Main_Center,Denied,11
C-100006,2021-11-12,2021-12-10,28.0,Tourist,Tourist Visa,22.0,Female,France,UAE,France_Main_Center,Denied,11
C-100007,2020-05-25,2022-05-25,730.0,Business,Business Visitor,47.0,Other,China,Canada,Beijing_Center,Denied,5
C-100008,2020-04-05,2020-05-23,48.0,Student,F1,26.0,Other,Nigeria,UAE,Nigeria_Main_Center,Approved,4
C-100009,2024-11-13,2025-01-25,73.0,Transit,C1,43.0,Unknown,Philippines,UAE,Cebu_Center,Denied,11
C-100010,2020-10-25,2020-11-14,20.0,Business,B1,24.0,Female,Iran,Canada,Iran_Main_Center,Denied,10
C-100011,2021-04-22,2024-02-26,36.0,Work,Skilled Worker,31.0,Female,Spain,New Zealand,Spain_Main_Center,Pending,4
C-100012,2021-12-11,2022-01-19,39.0,Tourist,Schengen Tourist,19.0,Other,South Korea,France,South Korea_Main_Center,Denied,12
C-100013,2020-04-04,2020-10-30,209.0,Family,Family Reunion,39.0,Other,Turkey,UK,Turkey_Main_Center,Approved,4
C-100014,2023-10-02,2023-12-29,88.0,Work,Skilled Worker,40.0,Female,Mexico,Japan,Guadalajara_Center,Approved,10
C-100015,2024-06-20,2024-02-26,36.0,Student,Study Permit,25.0,Other,Thailand,Germany,Thailand_Main_Center,Pending,6
C-100016,2020-09-04,2020-09-29,25.0,Tourist,Tourist Visa,26.0,Male,Mexico,Germany,Juarez_Center,Approved,9
C-100017,2024-09-20,2024-11-30,71.0,Work,Skilled Worker,74.0,Other,Canada,France,Montreal_Center,Approved,9
C-100018,2022-09-15,2022-11-29,75.0,Work,Work Permit,50.0,Other,Peru,Netherlands,Peru_Main_Center,Approved,9
C-100019,2022-12-08,2023-01-24,47.0,Tourist,B2,30.0,Other,Italy,USA,Italy_Main_Center,Approved,12
C-100020,2023-10-21,2023-11-14,24.0,Tourist,B2,36.0,Male,Iran,Japan,Iran_Main_Center,Approved,10
C-100021,2023-07-02,2023-11-14,135.0,Work,L1,50.0,Female,Germany,Switzerland,Berlin_Center,Approved,7
C-100022,2024-01-01,2024-02-06,36.0,Business,Schengen Business,28.0,Male,Kenya,France,Kenya_Main_Center,Approved,1
C-100023,2022-11-02,2022-11-25,23.0,Business,Schengen Business,70.0,Other,South Korea,Canada,South Korea_Main_Center,Approved,11
C-100024,2021-10-27,2022-01-07,72.0,Work,Work Permit,35.0,Male,Spain,France,Spain_Main_Center,Approved,10
C-100025,2020-08-30,2024-02-26,36.0,Tourist,Tourist Visa,50.0,Male,South Korea,Germany,South Korea_Main_Center,Pending,8
C-100026,2024-08-17,2025-02-18,185.0,Family,CR1,11.0,Other,France,Netherlands,France_Main_Center,Approved,8
C-100027,2024-12-31,2025-07-18,199.0,Family,CR1,7.0,Female,Nigeria,Singapore,Nigeria_Main_Center,Unknown,12
C-100028,2024-07-12,2024-08-13,32.0,Business,Schengen Business,68.0,Male,Turkey,UK,Turkey_Main_Center,Denied,7
